gene,gene,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,
Smp-337260,Smp_337260,2.37E-57,0.930946113,0.925,0.784,2.41E-53,Neuron_13,Neural proliferation differentiation and control protein 1
Smp-342970,Smp_342970,2.41E-57,0.837608223,0.928,0.872,2.45E-53,Neuron_13,Fat-like cadherin-related tumor suppressor homolog
Smp-244400,Smp_244400,3.39E-57,0.847141736,0.941,0.822,3.44E-53,Neuron_13,"FERM, RhoGEF and pleckstrin domain-containing protein 2"
Smp-138600,Smp_138600,4.29E-57,1.135846188,0.9,0.697,4.36E-53,Neuron_13,Uncharacterized protein KIAA0513
Smp-343280,Smp_343280,8.04E-57,0.982537874,0.953,0.848,8.16E-53,Neuron_13,Probable G-protein coupled receptor 158
Smp-142740,Smp_142740,2.34E-56,0.830264943,0.959,0.799,2.37E-52,Neuron_13,Rho GTPase-activating protein 100F
Smp-244320,Smp_244320,3.79E-56,0.937002117,0.875,0.648,3.85E-52,Neuron_13,Hypothetical protein
Smp-124520,Smp_124520,3.98E-56,1.063993905,0.828,0.736,4.05E-52,Neuron_13,Hypothetical protein
Smp-169360,Smp_169360,3.01E-55,0.644314788,0.888,0.756,3.06E-51,Neuron_13,Kinesin-like protein KIF26A
Smp-124070,Smp_124070,5.98E-55,0.721783544,0.916,0.774,6.07E-51,Neuron_13,venom allergen (val) protein
Smp-126310,Smp_126310,1.74E-54,0.595781572,0.853,0.593,1.77E-50,Neuron_13,Beta-1-syntrophin
Smp-176310,Smp_176310,2.12E-54,1.092543041,0.909,0.79,2.15E-50,Neuron_13,Neuronal acetylcholine receptor subunit alpha-2
Smp-332650,Smp_332650,5.23E-54,1.062380225,0.903,0.74,5.31E-50,Neuron_13,Nuclear receptor coactivator 7
Smp-342090,Smp_342090,2.72E-53,0.593131901,0.922,0.75,2.76E-49,Neuron_13,Neuropilin and tolloid-like protein 1
Smp-154850,Smp_154850,2.46E-52,0.532724396,0.9,0.775,2.50E-48,Neuron_13,GTPase-activating Rap/Ran-GAP domain-like protein 3
Smp-136400,Smp_136400,3.20E-52,0.910789018,0.944,0.762,3.25E-48,Neuron_13,Cytochrome b561
Smp-173380,Smp_173380,5.95E-52,0.617993119,0.941,0.871,6.04E-48,Neuron_13,Inactive tyrosine-protein kinase 7
Smp-176950,Smp_176950,2.11E-51,0.869508719,0.8,0.584,2.14E-47,Neuron_13,Hypothetical protein
Smp-147040,Smp_147040,3.85E-51,0.54820773,0.831,0.583,3.91E-47,Neuron_13,"Glutaminase kidney isoform, mitochondrial"
Smp-171740,Smp_171740,3.87E-51,0.599779839,0.881,0.781,3.93E-47,Neuron_13,multidrug resistance associated protein 1
Smp-057320,Smp_057320,4.74E-51,1.192538542,0.916,0.795,4.81E-47,Neuron_13,Vesicle-fusing ATPase 2
Smp-106110,Smp_106110,5.12E-51,1.033047937,0.928,0.794,5.20E-47,Neuron_13,Kv channel-interacting protein 4
Smp-124240,Smp_124240,5.61E-51,0.926660611,0.953,0.832,5.69E-47,Neuron_13,Sodium/potassium-transporting ATPase subunit beta-2
Smp-127740,Smp_127740,1.03E-50,0.674050305,0.919,0.832,1.05E-46,Neuron_13,"Probable fructose-2,6-bisphosphatase C732.02c"
Smp-126730,Smp_126730,2.09E-50,0.780116972,0.844,0.686,2.12E-46,Neuron_13,5-hydroxytryptamine receptor 1A
Smp-130950,Smp_130950,3.06E-50,0.749658375,0.953,0.868,3.11E-46,Neuron_13,Hypothetical protein
Smp-000320,Smp_000320,1.04E-49,0.633730918,0.938,0.859,1.06E-45,Neuron_13,Uncharacterized protein ZK1073.1
Smp-343120,Smp_343120,2.89E-49,0.953752004,0.944,0.874,2.93E-45,Neuron_13,Plasma membrane calcium-transporting ATPase 3
Smp-343760,Smp_343760,3.67E-49,0.627471253,0.9,0.701,3.73E-45,Neuron_13,Hypothetical protein
Smp-321250,Smp_321250,6.12E-49,0.873869384,0.95,0.819,6.22E-45,Neuron_13,Protein broad-minded
Smp-314630,Smp_314630,1.54E-48,0.50650112,0.872,0.711,1.57E-44,Neuron_13,Synaptotagmin 1
Smp-127160,Smp_127160,1.63E-48,0.627796625,0.866,0.659,1.66E-44,Neuron_13,Cytochrome b5 reductase 4
Smp-129900,Smp_129900,1.70E-48,0.508462302,0.903,0.767,1.72E-44,Neuron_13,Uncharacterized sodium-dependent transporter MJ1319
Smp-153700,Smp_153700,2.05E-48,0.701015003,0.934,0.893,2.09E-44,Neuron_13,Glycogen-binding subunit 76A
Smp-205760,Smp_205760,5.23E-48,0.846122021,0.981,0.929,5.31E-44,Neuron_13,Guanine nucleotide-binding protein subunit gamma
Smp-241950,Smp_241950,5.45E-48,0.704513269,0.928,0.779,5.53E-44,Neuron_13,Regulating synaptic membrane exocytosis protein 1
Smp-019900,Smp_019900,6.96E-48,0.97318934,0.922,0.782,7.07E-44,Neuron_13,Fasciculation and elongation protein zeta-1
Smp-191310,Smp_191310,8.04E-48,0.5297551,0.884,0.797,8.16E-44,Neuron_13,Histone deacetylase 4
Smp-158990,Smp_158990,1.01E-47,0.665085608,0.884,0.743,1.02E-43,Neuron_13,Neuronal calcium sensor 2
Smp-041060,Smp_041060,2.19E-47,0.519390621,0.906,0.857,2.22E-43,Neuron_13,Septin-5
Smp-127770,Smp_127770,6.38E-47,0.678033323,0.928,0.798,6.48E-43,Neuron_13,Ras-specific guanine nucleotide-releasing factor 2
Smp-088240,Smp_088240,2.77E-46,0.96802838,0.894,0.762,2.81E-42,Neuron_13,Calcium channel flower
Smp-024370,Smp_024370,4.74E-46,0.72097414,0.925,0.77,4.81E-42,Neuron_13,Protein fantom
Smp-064350,Smp_064350,6.73E-46,0.759515797,0.928,0.787,6.83E-42,Neuron_13,V-type proton ATPase 21 kDa proteolipid subunit
Smp-214000,Smp_214000,7.89E-46,1.005671036,0.916,0.804,8.01E-42,Neuron_13,serine/threonine-protein phosphatase
Smp-121580,Smp_121580,1.05E-45,0.866025775,0.903,0.799,1.07E-41,Neuron_13,Piwi-like protein 2
Smp-344610,Smp_344610,1.50E-45,0.869195075,0.931,0.84,1.52E-41,Neuron_13,A.1.12/9 antigen
Smp-315710,Smp_315710,2.59E-45,0.564438848,0.897,0.858,2.63E-41,Neuron_13,Phosphatidylinositol 4-phosphate 5-kinase type-1 alpha
Smp-012440,Smp_012440,3.77E-45,0.790160934,0.975,0.926,3.83E-41,Neuron_13,"Solute carrier family 2, facilitated glucose transporter member 1"
Smp-057530,Smp_057530,6.08E-45,0.525401978,0.922,0.834,6.18E-41,Neuron_13,Inactive dipeptidyl peptidase 10
Smp-333510,Smp_333510,1.10E-44,0.870929135,0.938,0.875,1.11E-40,Neuron_13,DnaJ homolog subfamily C member 5
Smp-145300,Smp_145300,4.28E-44,0.715477681,0.956,0.757,4.35E-40,Neuron_13,peptidylglycine alpha hydroxylating mono-oxygenase
Smp-097370,Smp_097370,8.33E-44,0.672296646,0.916,0.754,8.46E-40,Neuron_13,"fructose 1,6 bisphosphatase"
Smp-305490,Smp_305490,8.80E-44,0.705046387,0.928,0.859,8.94E-40,Neuron_13,"dystrophin,s A:C:F:G:H"
Smp-175980,Smp_175980,9.69E-44,0.561098944,0.881,0.827,9.84E-40,Neuron_13,Sodium/hydrogen exchanger 9B2
Smp-056060,Smp_056060,2.02E-43,0.796479241,0.803,0.526,2.05E-39,Neuron_13,Sex peptide receptor
Smp-340210,Smp_340210,2.39E-43,0.952966672,0.938,0.84,2.43E-39,Neuron_13,60S ribosomal protein L6
Smp-077980,Smp_077980,4.81E-43,0.873503628,0.931,0.789,4.88E-39,Neuron_13,Neuroendocrine convertase 2
Smp-084010,Smp_084010,5.12E-43,0.836437872,0.866,0.648,5.20E-39,Neuron_13,ATP synthase subunit alpha
Smp-150230,Smp_150230,6.82E-43,0.919453767,0.875,0.745,6.92E-39,Neuron_13,Metal tolerance protein 4
Smp-170450,Smp_170450,1.55E-42,0.917123416,0.884,0.702,1.57E-38,Neuron_13,Sodium/potassium/calcium exchanger 4
Smp-200240,Smp_200240,2.10E-42,0.565588172,0.978,0.899,2.13E-38,Neuron_13,Universal stress protein MSMEG_3950/MSMEI_3859
Smp-341310,Smp_341310,4.01E-42,0.634644713,0.906,0.773,4.07E-38,Neuron_13,Glycine dehydrogenase (decarboxylating)
Smp-022890,Smp_022890,5.80E-42,0.546201719,0.838,0.738,5.89E-38,Neuron_13,Hypothetical protein
Smp-147050,Smp_147050,7.43E-42,0.603326958,0.916,0.849,7.55E-38,Neuron_13,V-type proton ATPase catalytic subunit A
Smp-332170,Smp_332170,8.94E-42,0.550628852,0.922,0.801,9.08E-38,Neuron_13,Receptor-type adenylate cyclase GRESAG 4.2 (Fragment)
Smp-045990,Smp_045990,1.08E-41,0.53839703,0.922,0.75,1.10E-37,Neuron_13,GTP-binding protein Di-Ras2
Smp-317130,Smp_317130,1.67E-41,0.709563262,0.95,0.846,1.70E-37,Neuron_13,V-type proton ATPase subunit e 1
Smp-069240,Smp_069240,7.96E-41,0.866985526,0.838,0.767,8.09E-37,Neuron_13,Potassium voltage-gated channel protein Shaker
Smp-196090,Smp_196090,1.01E-40,0.604520174,0.894,0.803,1.03E-36,Neuron_13,Kinase D-interacting substrate of 220 kDa
Smp-044920,Smp_044920,3.25E-40,0.862933482,0.959,0.933,3.30E-36,Neuron_13,Dynamin-1
Smp-103530,Smp_103530,3.63E-40,0.687230504,0.888,0.84,3.69E-36,Neuron_13,High mobility group protein B1
Smp-212780,Smp_212780,4.84E-40,0.814570814,0.828,0.671,4.92E-36,Neuron_13,"Tubulin polymerization-promoting protein (TPPP), putative"
Smp-074020,Smp_074020,5.41E-40,0.777191865,0.9,0.818,5.49E-36,Neuron_13,AP-2 complex subunit alpha
Smp-134140,Smp_134140,7.51E-40,0.64339629,0.906,0.821,7.63E-36,Neuron_13,"cAMP-specific 3',5'-cyclic phosphodiesterase 4D"
Smp-048380,Smp_048380,8.13E-40,0.546854762,0.862,0.681,8.25E-36,Neuron_13,Nuclear egress protein 1
Smp-244080,Smp_244080,9.59E-40,0.854428019,0.866,0.81,9.74E-36,Neuron_13,Receptor-type tyrosine-protein phosphatase delta
Smp-346150,Smp_346150,1.43E-39,1.024345141,0.819,0.692,1.45E-35,Neuron_13,Ras-related protein Rab-26
Smp-181150,Smp_181150,1.46E-39,0.573695856,0.934,0.813,1.48E-35,Neuron_13,ATP-binding cassette sub-family G member 1
Smp-074150,Smp_074150,2.09E-39,0.69603855,0.969,0.878,2.13E-35,Neuron_13,annexin
Smp-004910,Smp_004910,9.23E-39,0.70888423,0.941,0.845,9.37E-35,Neuron_13,Ras-related protein Rab-14
Smp-316660,Smp_316660,1.87E-38,0.683525642,0.869,0.726,1.90E-34,Neuron_13,RIMS-binding protein 2
Smp-076010,Smp_076010,1.94E-38,0.525229055,0.894,0.761,1.97E-34,Neuron_13,Ribosomal RNA small subunit methyltransferase Nep1
Smp-128760,Smp_128760,2.06E-38,0.57264199,0.862,0.787,2.10E-34,Neuron_13,Chitin synthase 3
Smp-152330,Smp_152330,2.43E-38,0.588236023,0.941,0.879,2.47E-34,Neuron_13,cAMP dependent protein kinase catalytic subunit
Smp-143480,Smp_143480,2.86E-38,0.857874713,0.881,0.712,2.91E-34,Neuron_13,Low-density lipoprotein receptor-related protein 11
Smp-301920,Smp_301920,3.65E-38,0.547569975,0.753,0.504,3.71E-34,Neuron_13,Synaptotagmin 1
Smp-157540,Smp_157540,4.18E-38,0.519342086,0.903,0.862,4.24E-34,Neuron_13,Mothers against decapentaplegic homolog 2
Smp-315810,Smp_315810,5.55E-38,0.663850943,0.931,0.917,5.64E-34,Neuron_13,"Microtubule-actin cross-linking factor 1, isoforms 1/2/3/5"
Smp-341620,Smp_341620,6.18E-38,0.509517551,0.925,0.876,6.27E-34,Neuron_13,FERM domain-containing protein 5
Smp-024820,Smp_024820,9.83E-38,0.640811882,0.947,0.88,9.98E-34,Neuron_13,CD9 antigen
Smp-347090,Smp_347090,1.21E-37,1.01734898,0.731,0.491,1.23E-33,Neuron_13,Cardioacceleratory peptide receptor
Smp-214370,Smp_214370,1.68E-37,0.500210048,0.834,0.637,1.71E-33,Neuron_13,alpha(13)fucosyltransferase
Smp-152290,Smp_152290,2.86E-37,0.927805616,0.838,0.688,2.91E-33,Neuron_13,Arrestin red cell isoform 2
Smp-148460,Smp_148460,5.28E-37,0.564029107,0.934,0.883,5.36E-33,Neuron_13,Neurofibromin
Smp-001000,Smp_001000,1.20E-36,0.732058056,0.866,0.7,1.22E-32,Neuron_13,Universal stress protein MSMEG_3950/MSMEI_3859
Smp-074590,Smp_074590,1.58E-36,0.7495142,0.938,0.798,1.61E-32,Neuron_13,Valine--tRNA ligase
Smp-049270,Smp_049270,1.65E-36,0.749794511,0.9,0.85,1.67E-32,Neuron_13,Major egg antigen
Smp-342310,Smp_342310,2.17E-36,0.512884643,0.797,0.7,2.20E-32,Neuron_13,TWiK family of potassium channels protein 12
Smp-148900,Smp_148900,3.00E-36,0.604289645,0.822,0.619,3.05E-32,Neuron_13,Hypothetical protein
Smp-210820,Smp_210820,4.32E-36,0.666797117,0.906,0.869,4.39E-32,Neuron_13,Beta-adrenergic receptor kinase 1
Smp-043110,Smp_043110,5.21E-36,0.821070437,0.928,0.786,5.29E-32,Neuron_13,Phosphoenolpyruvate carboxylase
Smp-005880,Smp_005880,1.12E-35,0.887427417,0.831,0.716,1.14E-31,Neuron_13,phosphoenolpyruvate carboxykinase
Smp-159990,Smp_159990,2.05E-35,0.550322438,0.912,0.827,2.08E-31,Neuron_13,Voltage-dependent calcium channel type D subunit alpha-1
Smp-151740,Smp_151740,1.22E-34,0.825607007,0.85,0.702,1.24E-30,Neuron_13,Small G protein signaling modulator 2
Smp-064430,Smp_064430,1.51E-34,0.532124908,0.894,0.75,1.53E-30,Neuron_13,PTS system mannitol-specific EIICB component
Smp-267000,Smp_267000,2.35E-34,0.569225016,0.978,0.971,2.39E-30,Neuron_13,V-type proton ATPase subunit S1
Smp-017520,Smp_017520,4.17E-34,0.779399071,0.862,0.789,4.24E-30,Neuron_13,Inositol polyphosphate 1-phosphatase
Smp-143840,Smp_143840,6.33E-34,0.595344942,0.975,0.936,6.43E-30,Neuron_13,"Glycogen phosphorylase, liver form"
Smp-212600,Smp_212600,6.42E-34,0.703712838,0.978,0.908,6.52E-30,Neuron_13,Mitogen-activated protein kinase kinase kinase kinase 5
Smp-170160,Smp_170160,1.30E-33,0.547538454,0.878,0.792,1.32E-29,Neuron_13,5'-AMP-activated protein kinase subunit beta-1
Smp-141980,Smp_141980,1.86E-33,0.654027557,0.897,0.801,1.89E-29,Neuron_13,"cAMP-specific 3',5'-cyclic phosphodiesterase 4C (Fragment)"
Smp-052740,Smp_052740,3.91E-33,0.603387718,0.9,0.667,3.97E-29,Neuron_13,Gamma-soluble NSF attachment protein
Smp-094560,Smp_094560,6.72E-33,0.692669495,0.716,0.394,6.83E-29,Neuron_13,Potassium voltage-gated channel protein Shal
Smp-076370,Smp_076370,7.17E-33,0.704175363,0.953,0.877,7.29E-29,Neuron_13,Putative apoptosis inhibitor ORF99
Smp-147840,Smp_147840,8.17E-33,0.704332612,0.938,0.87,8.29E-29,Neuron_13,Cytosolic purine 5'-nucleotidase
Smp-140200,Smp_140200,1.40E-32,0.725899531,0.925,0.796,1.42E-28,Neuron_13,Protein MADS AFFECTING FLOWERING 5
Smp-019350,Smp_019350,1.44E-32,0.57262313,0.966,0.892,1.47E-28,Neuron_13,Ly-6/neurotoxin-like protein 1
Smp-143130,Smp_143130,1.75E-32,0.659456877,0.85,0.761,1.77E-28,Neuron_13,Four and a half LIM domains protein 2
Smp-037540,Smp_037540,2.53E-32,0.773774273,0.869,0.677,2.57E-28,Neuron_13,Neutral and basic amino acid transport protein rBAT
Smp-210860,Smp_210860,3.99E-32,0.523037027,0.819,0.647,4.05E-28,Neuron_13,dystrobrevin
Smp-347500,Smp_347500,4.26E-32,0.661192539,0.966,0.941,4.33E-28,Neuron_13,Girdin
Smp-138430,Smp_138430,6.41E-32,0.628774969,0.841,0.773,6.51E-28,Neuron_13,Regulator of G-protein signaling egl-10
Smp-016630,Smp_016630,8.70E-32,0.698292016,0.944,0.856,8.83E-28,Neuron_13,Guanine nucleotide-binding protein G(o) subunit alpha
Smp-043220,Smp_043220,1.01E-31,0.727256988,0.962,0.855,1.03E-27,Neuron_13,Hybrid PKS-NRPS synthetase ATEG_00325
Smp-343520,Smp_343520,2.02E-31,0.79392102,0.916,0.83,2.05E-27,Neuron_13,"Solute carrier family 2, facilitated glucose transporter member 10"
Smp-001640,Smp_001640,2.55E-31,0.624557503,0.969,0.907,2.59E-27,Neuron_13,V-type proton ATPase subunit G 2
Smp-065290,Smp_065290,9.00E-31,0.748418167,0.844,0.717,9.14E-27,Neuron_13,Calcium/calmodulin-dependent protein kinase type 1
Smp-054220,Smp_054220,1.40E-30,0.664531675,0.972,0.917,1.42E-26,Neuron_13,V-type proton ATPase subunit G
Smp-164760,Smp_164760,2.21E-30,0.549330507,0.844,0.768,2.25E-26,Neuron_13,Fasciclin-2
Smp-015630,Smp_015630,2.79E-30,0.633569461,0.828,0.746,2.83E-26,Neuron_13,Glutamate-gated chloride channel subunit 2 isoform 1
Smp-079950,Smp_079950,3.86E-30,0.647028087,0.856,0.704,3.92E-26,Neuron_13,V-type proton ATPase subunit d
Smp-147000,Smp_147000,4.20E-30,0.615026792,0.85,0.729,4.26E-26,Neuron_13,Syntenin-2
Smp-305740,Smp_305740,1.01E-29,0.698405431,0.834,0.737,1.03E-25,Neuron_13,Neuronal acetylcholine receptor subunit alpha-4
Smp-102960,Smp_102960,1.19E-29,0.585987331,0.884,0.779,1.21E-25,Neuron_13,Protein sarah
Smp-085520,Smp_085520,2.26E-29,0.664347161,0.878,0.813,2.29E-25,Neuron_13,Vacuolar ATP synthase subunit E-like protein
Smp-060950,Smp_060950,3.54E-29,0.525733064,0.903,0.813,3.59E-25,Neuron_13,Alpha-soluble NSF attachment protein
Smp-085150,Smp_085150,4.95E-29,0.685856985,0.894,0.8,5.03E-25,Neuron_13,Phosphoglucomutase-2
Smp-127680,Smp_127680,9.36E-29,0.531124581,0.888,0.851,9.50E-25,Neuron_13,DmX-like protein 1
Smp-091730,Smp_091730,9.44E-29,0.692795368,0.944,0.819,9.59E-25,Neuron_13,Sorting nexin-3
Smp-051120,Smp_051120,2.03E-28,0.564596698,0.856,0.771,2.06E-24,Neuron_13,NAC domain-containing protein 74
Smp-092020,Smp_092020,2.33E-28,0.509405613,0.912,0.879,2.37E-24,Neuron_13,Hypothetical protein
Smp-093210,Smp_093210,4.10E-28,0.603748422,0.781,0.707,4.17E-24,Neuron_13,FMRFamide-activated amiloride-sensitive sodium channel
Smp-130300,Smp_130300,6.34E-28,0.510579929,0.959,0.911,6.44E-24,Neuron_13,Sodium/potassium-transporting ATPase subunit alpha
Smp-103560,Smp_103560,1.18E-27,0.578620711,0.925,0.839,1.19E-23,Neuron_13,hypoxanthine-guanine phosphoribosyltransferase
Smp-074190,Smp_074190,1.20E-27,0.585170852,0.941,0.836,1.22E-23,Neuron_13,Natterin-4
Smp-347390,Smp_347390,2.33E-27,0.527711132,0.797,0.686,2.37E-23,Neuron_13,Anoctamin-8
Smp-018550,Smp_018550,4.10E-27,0.654618297,0.934,0.86,4.16E-23,Neuron_13,Serine--tRNA ligase
Smp-060480,Smp_060480,5.70E-27,0.674066704,0.862,0.736,5.78E-23,Neuron_13,Copine-8
Smp-160410,Smp_160410,6.37E-27,0.543202729,0.9,0.729,6.47E-23,Neuron_13,Transmembrane protein 106A
Smp-017880,Smp_017880,7.53E-27,0.714278313,0.816,0.687,7.65E-23,Neuron_13,5-hydroxytryptamine receptor 1A
Smp-346920,Smp_346920,1.23E-26,0.532913271,0.784,0.618,1.25E-22,Neuron_13,Stomatin-like protein 1
Smp-318140,Smp_318140,2.50E-26,0.562192592,0.744,0.654,2.54E-22,Neuron_13,Protocadherin-11 X-linked
Smp-096410,Smp_096410,3.43E-26,0.808898442,0.756,0.627,3.48E-22,Neuron_13,16 kDa calcium-binding protein
Smp-172070,Smp_172070,6.25E-26,0.596088878,0.797,0.716,6.34E-22,Neuron_13,Neural cell adhesion molecule L1-like protein
Smp-087580,Smp_087580,4.78E-25,0.528903378,0.906,0.766,4.85E-21,Neuron_13,ALG-2 interacting protein X
Smp-131870,Smp_131870,1.25E-24,0.609552086,0.872,0.851,1.27E-20,Neuron_13,Syntaxin-binding protein 1
Smp-159860,Smp_159860,2.29E-24,0.712853187,0.688,0.534,2.32E-20,Neuron_13,Alpha-2 adrenergic receptor
Smp-123870,Smp_123870,2.73E-24,0.591954936,0.872,0.779,2.77E-20,Neuron_13,Vesicle-associated membrane protein 1
Smp-245010,Smp_245010,6.68E-24,0.558518772,0.762,0.64,6.79E-20,Neuron_13,Multiple C2 and transmembrane domain-containing protein 2
Smp-024520,Smp_024520,1.05E-22,0.569740725,0.856,0.769,1.06E-18,Neuron_13,Rab GDP dissociation inhibitor alpha
Smp-034870,Smp_034870,4.42E-22,0.632693489,0.866,0.745,4.49E-18,Neuron_13,AP-2 complex subunit beta
Smp-245320,Smp_245320,5.31E-22,0.531345662,0.812,0.674,5.40E-18,Neuron_13,Glutamate [NMDA] receptor subunit 1
Smp-333590,Smp_333590,1.09E-21,0.59588967,0.744,0.766,1.11E-17,Neuron_13,Cubilin
Smp-039870,Smp_039870,3.90E-21,0.541455593,0.875,0.805,3.96E-17,Neuron_13,Vasodilator-stimulated phosphoprotein
Smp-089460,Smp_089460,4.29E-21,0.548861984,0.966,0.92,4.36E-17,Neuron_13,Calpain-B
Smp-047370,Smp_047370,2.88E-20,0.515519555,0.984,0.961,2.93E-16,Neuron_13,malate dehydrogenase mitochondrial
Smp-247290,Smp_247290,1.46E-19,0.651307064,0.681,0.532,1.49E-15,Neuron_13,Y+L amino acid transporter 2
Smp-150500,Smp_150500,7.94E-19,0.501221643,0.806,0.702,8.07E-15,Neuron_13,Protein lifeguard 1
Smp-103200,Smp_103200,1.14E-18,0.58827752,0.922,0.841,1.16E-14,Neuron_13,V-type proton ATPase subunit D
Smp-043670,Smp_043670,2.44E-18,0.534115744,0.894,0.834,2.48E-14,Neuron_13,ATP-dependent 6-phosphofructokinase
Smp-306240,Smp_306240,7.60E-18,0.557086629,0.659,0.458,7.72E-14,Neuron_13,Neuronal acetylcholine receptor subunit alpha-3
Smp-075130,Smp_075130,3.27E-17,0.549005129,0.712,0.599,3.32E-13,Neuron_13,Guanine nucleotide-binding protein subunit beta-5
Smp-346750,Smp_346750,5.90E-17,0.52032047,0.819,0.747,5.99E-13,Neuron_13,AP-2 complex subunit mu
Smp-248070,Smp_248070,3.88E-15,0.574398881,0.809,0.76,3.94E-11,Neuron_13,Dedicator of cytokinesis protein 6
Smp-144490,Smp_144490,6.46E-15,0.568912731,0.822,0.76,6.56E-11,Neuron_13,"Protein CHUP1, chloroplastic"
Smp-078750,Smp_078750,8.96E-15,0.557583066,0.791,0.736,9.10E-11,Neuron_13,Tetraspanin-31
Smp-173730,Smp_173730,9.41E-15,0.504844565,0.769,0.645,9.55E-11,Neuron_13,Coxsackievirus and adenovirus receptor homolog
Smp-132640,Smp_132640,8.43E-12,0.531181875,0.816,0.743,8.56E-08,Neuron_13,CDP-diacylglycerol--inositol 3-phosphatidyltransferase
Smp-121190,Smp_121190,3.99E-06,0.517664742,0.634,0.715,0.040545447,Neuron_13,Potassium voltage-gated channel protein Shab
Smp-166350,Smp_166350,3.96E-128,4.07687418,1,0.581,4.02E-124,Sm13+,Lymphocyte antigen 6I
Smp-195190,Smp_195190,4.92E-128,4.547296277,1,0.771,5.00E-124,Sm13+,13 kDa tegumental antigen Sm13
Smp-346910,Smp_346910,2.69E-127,4.069026846,1,0.696,2.73E-123,Sm13+,antigenic integral membrane glycoprotein
Smp-141500,Smp_141500,1.11E-125,4.29040984,0.997,0.76,1.12E-121,Sm13+,UPF0506 protein SJCHGC09643
Smp-003230,Smp_003230,9.30E-125,3.147834767,0.997,0.609,9.44E-121,Sm13+,Endophilin-B1
Smp-331280,Smp_331280,3.47E-124,4.141649756,0.994,0.677,3.53E-120,Sm13+,DNA repair protein RecN
Smp-335630,Smp_335630,9.36E-122,3.076658628,1,0.839,9.50E-118,Sm13+,"putative tetraspanin 2, fragment"
Smp-101970,Smp_101970,5.81E-121,3.363954284,0.991,0.563,5.90E-117,Sm13+,Cornifelin
Smp-331290,Smp_331290,2.16E-118,2.50782831,0.991,0.601,2.20E-114,Sm13+,Polyribonucleotide nucleotidyltransferase
Smp-037230,Smp_037230,3.89E-115,2.367914347,0.991,0.789,3.95E-111,Sm13+,fimbrin
Smp-319650,Smp_319650,3.06E-112,2.917387611,0.975,0.687,3.11E-108,Sm13+,Nesprin-2
Smp-069120,Smp_069120,2.85E-110,2.429979849,0.956,0.54,2.90E-106,Sm13+,Synaptotagmin-2
Smp-341080,Smp_341080,7.59E-110,2.082636199,1,0.997,7.71E-106,Sm13+,DNA ligase
Smp-072190,Smp_072190,9.34E-106,1.902606187,0.991,0.828,9.49E-102,Sm13+,Long neurotoxin 1
Smp-194050,Smp_194050,9.20E-105,2.147637319,0.975,0.614,9.34E-101,Sm13+,Hypothetical protein
Smp-005720,Smp_005720,1.48E-100,2.227527541,0.965,0.732,1.50E-96,Sm13+,Aquaporin-3
Smp-141010,Smp_141010,1.17E-96,1.821819046,0.972,0.815,1.19E-92,Sm13+,Dysferlin
Smp-320320,Smp_320320,4.91E-96,1.389503492,0.947,0.776,4.99E-92,Sm13+,"Dynein light chain, cytoplasmic"
Smp-095360,Smp_095360,2.39E-90,1.365760506,1,0.976,2.43E-86,Sm13+,14 kDa fatty acid-binding protein
Smp-051810,Smp_051810,1.82E-88,1.470293619,0.959,0.716,1.85E-84,Sm13+,Elongation of very long chain fatty acids protein 4
Smp-174510,Smp_174510,2.73E-85,0.888214956,0.934,0.756,2.77E-81,Sm13+,"Dynein light chain LC6, flagellar outer arm"
Smp-316640,Smp_316640,3.20E-85,0.998852706,0.918,0.693,3.25E-81,Sm13+,Disintegrin and metalloproteinase domain-containing protein B
Smp-086530,Smp_086530,6.96E-85,1.134654893,0.928,0.747,7.06E-81,Sm13+,tegument-allergen-like protein
Smp-059600,Smp_059600,9.64E-85,1.61121499,0.931,0.587,9.79E-81,Sm13+,Tektin-3
Smp-123550,Smp_123550,1.00E-84,2.478430371,0.884,0.539,1.02E-80,Sm13+,venom allergen (VAL) 8 protein
Smp-123540,Smp_123540,2.05E-79,2.35233243,0.874,0.606,2.08E-75,Sm13+,venom allergen-like (VAL) 12 protein
Smp-346900,Smp_346900,1.77E-78,0.533991768,0.928,0.79,1.80E-74,Sm13+,25 kDa integral membrane protein
Smp-201030,Smp_201030,8.33E-78,1.212487848,0.981,0.906,8.46E-74,Sm13+,"Dynein light chain 2, cytoplasmic"
Smp-204720,Smp_204720,1.86E-76,0.659471136,0.887,0.591,1.89E-72,Sm13+,Hypothetical protein
Smp-042140,Smp_042140,3.50E-76,1.105627386,0.978,0.834,3.55E-72,Sm13+,tegument-allergen-like protein (TAL7)
Smp-002410,Smp_002410,1.30E-75,0.82066693,0.991,0.96,1.32E-71,Sm13+,14-3-3 epsilon 2
Smp-086480,Smp_086480,8.15E-75,1.047871761,0.94,0.8,8.28E-71,Sm13+,tegument-allergen-like protein (antigen Sm21.7)
Smp-329300,Smp_329300,1.90E-74,1.228721307,0.881,0.536,1.93E-70,Sm13+,Structural polyprotein
Smp-016780,Smp_016780,2.16E-74,0.888344657,0.871,0.614,2.20E-70,Sm13+,Tubulin alpha-2/alpha-4 chain
Smp-051080,Smp_051080,3.17E-74,1.203650638,0.987,0.899,3.22E-70,Sm13+,Clathrin light chain
